year,biasmo1,hate_crimes,merge_year,YEAR,Population,hate_crimes_per_100000
1999,24,32,1990,1990,248107628,0.012897628443733298
1999,25,151,1990,1990,248107628,0.0608606842188665
1999,26,31,1990,1990,248107628,0.012494577554866632
1999,27,4,1990,1990,248107628,0.0016122035554666622
1999,32,466,1990,1990,248107628,0.18782171421186614
1999,33,363,1990,1990,248107628,0.1463074726585996
1999,41,916,1990,1990,248107628,0.3691946142018656
1999,42,187,1990,1990,248107628,0.07537051621806645
1999,43,178,1990,1990,248107628,0.07174305821826646
1999,44,14,1990,1990,248107628,0.005642712444133317
1999,45,23,1990,1990,248107628,0.009270170443933308
1999,51,10,1990,1990,248107628,0.004030508888666655
1999,52,9,1990,1990,248107628,0.00362745799979999
2000,11,877,2000,2000,281421906,0.31163174625076984
2000,12,2887,2000,2000,281421906,1.0258618602348604
2000,13,58,2000,2000,281421906,0.020609625179640424
2000,14,281,2000,2000,281421906,0.0998500806117062
2000,15,240,2000,2000,281421906,0.0852812076398914
2000,21,1110,2000,2000,281421906,0.39442558533449773
2000,22,56,2000,2000,281421906,0.019898948449307993
2000,23,59,2000,2000,281421906,0.020964963544806637
2000,24,28,2000,2000,281421906,0.009949474224653997
2000,25,172,2000,2000,281421906,0.06111819880858883
2000,26,44,2000,2000,281421906,0.015634888067313422
2000,27,4,2000,2000,281421906,0.0014213534606648567
2000,32,557,2000,2000,281421906,0.1979234693975813
2000,33,354,2000,2000,281421906,0.12578978126883983
2000,41,896,2000,2000,281421906,0.3183831751889279
2000,42,179,2000,2000,281421906,0.06360556736475234
2000,43,183,2000,2000,281421906,0.0650269208254172
2000,44,22,2000,2000,281421906,0.007817444033656711
2000,45,20,2000,2000,281421906,0.007106767303324283
2000,51,20,2000,2000,281421906,0.007106767303324283
2000,52,16,2000,2000,281421906,0.005685413842659427
2001,11,895,2000,2000,281421906,0.3180278368237617
2001,12,2900,2000,2000,281421906,1.0304812589820211
2001,13,80,2000,2000,281421906,0.028427069213297133
2001,14,280,2000,2000,281421906,0.09949474224653998
2001,15,218,2000,2000,281421906,0.07746376360623469
