year_group,fstate,hate_crimes_per_100000,hate_crimes
4,45,0.04983002976845979,2
4,47,0.21095803956693832,12
4,48,0.08633850902316562,18
4,49,0.08965252920991468,2
4,50,0.6574762445614387,4
4,51,0.45193986714097756,32
4,53,0.5428531683964457,32
4,55,0.11199918165931269,6
5,1,0.02248938107649021,1
5,2,0.15969670401972574,1
5,4,0.1947908637630751,10
5,5,0.22452686576212272,6
5,6,0.42201987566054966,143
5,8,0.2325131509438174,10
5,9,0.26407923785558274,9
5,11,0.1749007001275026,1
5,12,0.03753075175972312,6
5,17,0.05637346291713342,7
5,18,0.08221627451422103,5
5,20,0.14885881113910485,4
5,21,0.04949446354930736,2
5,23,0.1568188358240085,2
5,24,0.16982301611337383,9
5,25,0.8184530953187789,52
5,26,0.2818117394920202,28
5,27,0.40716214499532577,20
5,29,0.03574307165234858,2
5,30,0.11077386622947914,1
5,31,0.3509174150955314,6
5,32,0.3499464581918966,7
5,33,0.16196745102104282,2
5,34,0.4514805174869691,38
5,36,0.1159355463707668,22
5,37,0.03727756940306807,3
5,39,0.07046266047100236,8
5,40,0.0579700399239665,2
5,41,0.29197694082912107,10
5,42,0.032584901590338694,4
5,44,0.3815108401536344,4
5,45,0.07474504465268966,3
5,47,0.2109580395669383,12
5,48,0.07194875751930468,15
5,49,0.17930505841982936,4
5,51,0.24009305441864429,17
5,53,0.32231906873538957,19
5,55,0.18666530276552112,10
5,56,0.20249104483354224,1
5,NA,NA,2
6,1,0.02089734014475169,1
6,4,0.3585226360456244,21
6,5,0.2085598946932961,6
6,6,0.23977985227961585,87
6,8,0.2350903173622485,11
6,9,0.2278055001574176,8
6,10,0.46109760996105636,4
6,11,0.3308776695623977,2
6,12,0.03904484432018593,7
6,13,0.01029591807002604,1
6,16,0.12727099175920328,2
6,17,0.05557213372642089,7
6,18,0.11095714982314647,7
6,19,0.03278814302056833,1
6,20,0.21433019492478117,6
6,21,0.21229123025808616,9
6,23,0.23214460092663608,3
6,24,0.12732634874484888,7
6,25,0.6611434661169666,43
6,26,0.1516221972101529,15
6,27,0.30892406431278824,16
6,28,0.0336696255533603,1
6,29,0.13461153466878056,8
6,31,0.17160447326754155,3
6,32,0.12393929128286257,3
6,33,0.3897995751986638,5
6,34,0.30007577018026965,26
6,35,0.04840430372345265,1
6,36,0.062219606481760614,12
6,37,0.022884403076934408,2
6,38,0.2965163773408115,2
6,39,0.07843377282658451,9
6,40,0.1353198651995911,5
6,41,0.15629245130904043,6
6,42,0.05591087483268295,7
6,45,0.02491501488422989,1
6,46,0.12247952448549412,1
6,47,0.04904172755000004,3
6,48,0.0333488509195122,8
6,49,0.1528771738713673,4
6,50,0.32412367804878833,2
6,51,0.090554511362016,7
6,53,0.38777067340677324,25
6,54,0.10787643617247931,2
6,55,0.17899980502574364,10
7,1,0.02089734014475169,1
7,2,0.14005896482419097,1
7,4,0.1559153423347418,10
7,6,0.19545179391680656,73
7,8,0.05941687094516991,3
7,9,0.3075139925855581,11
7,10,0.11113963695126194,1
7,11,0.4963165043435966,3
7,12,0.01592075624016693,3
7,13,0.051479590350130194,5
7,16,0.12727099175920328,2
7,17,0.04671745269040359,6
7,18,0.0770342313932673,5
7,19,0.09836442906170499,3
7,20,0.13990078935522873,4
7,21,0.27609906986825017,12
7,24,0.034566301796307,2
7,25,0.4727588713202203,31
7,26,0.49607322607757737,49
7,27,0.13181224513160889,7
7,28,0.0336696255533603,1
7,29,0.0166771426918009,1
7,31,0.27316000784515543,5
7,32,0.07394694011259162,2
7,33,0.22783212417762097,3
7,34,0.34084618929415755,30
7,35,0.04840430372345265,1
7,36,0.13407395096286498,26
7,37,0.06275127965547037,6
7,38,0.2965163773408115,2
7,39,0.13002568787489657,15
7,40,0.07975113392820589,3
7,42,0.0708124469398401,9
7,45,0.04313773533791514,2
7,47,0.11011661821797647,7
7,48,0.0514706470422551,13
7,49,0.18008484877734993,5
7,51,0.18692480899711478,15
7,53,0.47446095304971636,32
7,54,0.10787643617247931,2
7,55,0.1230002141960873,7
8,2,0.14005896482419097,1
8,4,0.12473227386779344,8
8,6,0.20883890308919056,78
8,8,0.15844498918711977,8
8,9,0.47524889763222616,17
8,10,0.11113963695126194,1
8,11,0.4963165043435966,3
8,13,0.02059183614005208,2
8,17,0.03114496846026905,4
8,18,0.06162738511461384,4
8,19,0.098364429061705,3
8,20,0.10492559201642154,3
8,21,0.2070743024011876,9
8,22,0.02200593808233213,1
8,23,0.07532576510262759,1
8,24,0.03456630179630701,2
8,25,0.5337600160067004,35
8,26,0.1417352074507364,14
8,27,0.26362449026321777,14
8,29,0.0667085707672036,4
8,31,0.10926400313806216,2
8,32,0.07394694011259162,2
8,33,0.22783212417762097,3
8,34,0.2613154117921874,23
8,35,0.04840430372345265,1
8,36,0.18048416475770282,35
8,37,0.06275127965547038,6
8,39,0.07801541272493792,9
8,40,0.02658371130940196,1
8,41,0.10419496753936028,4
8,42,0.03934024829991117,5
8,44,0.18995408809690695,2
8,45,0.02156886766895757,1
8,47,0.01573094545971092,1
8,48,0.04751136650054316,12
8,49,0.03601696975546999,1
8,50,0.3195092338168573,2
8,51,0.09969323146512787,8
8,53,0.40032642913569816,27
8,54,0.05393821808623966,1
8,55,0.01757145917086961,1
9,4,0.03118306846694836,2
9,5,0.03422775007992179,1
9,6,0.20616148125471379,77
9,8,0.1386393655387298,7
9,9,0.11182327003111202,4
9,11,0.4963165043435966,3
9,12,0.03184151248033387,6
9,13,0.03088775421007811,3
9,15,0.5866732765189154,8
9,16,0.12727099175920328,2
9,17,0.02335872634520179,3
9,18,0.01540684627865346,1
9,19,0.03278814302056833,1
9,20,0.03497519733880718,1
9,21,0.04601651164470836,2
9,23,0.07532576510262759,1
9,24,0.0172831508981535,1
9,25,0.42700801280536027,28
9,26,0.0809915471147065,8
9,27,0.05649096219926095,3
9,28,0.1346785022134412,4
9,29,0.0333542853836018,2
9,30,0.10091856073985415,1
9,32,0.07394694011259162,2
9,33,0.07594404139254032,1
9,34,0.545353902870652,48
9,35,0.04840430372345265,1
9,36,0.07219366590308113,14
9,37,0.052292733046225295,5
9,38,0.14825818867040574,1
9,39,0.09535217110825747,11
9,41,0.20838993507872064,8
9,42,0.01573609931996446,2
9,44,0.09497704404845347,1
9,47,0.0629237818388437,4
9,48,0.05542992758396703,14
9,51,0.07476992359884589,6
9,53,0.7265183343573782,49
9,54,0.10787643617247931,2
NA,2,0.3631767799293985,2
NA,4,0.46539016532027466,17
NA,6,0.158165405140517,47
NA,8,0.6397063930429188,21
NA,9,0.06093603848720191,2
NA,12,0.023214598144085732,3
NA,13,0.03093091379353275,2
NA,16,0.5045836377654616,5
NA,17,0.19308753641016568,22
NA,18,0.09011722268091887,5
NA,19,0.25301284076311564,7
NA,22,0.0477508399372745,2
NA,23,0.3260238779888239,4
NA,24,0.9830998854584049,47
NA,25,1.063847824547557,64
NA,26,0.08616223703016002,8
NA,29,0.07840184118883847,4
NA,32,0.0836151162751807,1
NA,34,0.9351866307797456,72
NA,39,0.1015482976628013,11
NA,40,0.1275055233798909,4
NA,41,0.9531141947297022,27
NA,42,0.06749089927405102,8
NA,44,0.39906857394840445,4
NA,48,0.13568215264100592,23
NA,49,0.05807781032716392,1
NA,51,0.06471219655035457,4
NA,53,1.1359027039441019,55
NA,55,0.2048575410416719,10
