state,year,biasmo1,hate_crimes,fstate,merge_year,YEAR,Population,hate_crimes_per_100000
2,2004,25,2,4,2000,2000,5133711,0.03895817275261502
2,2004,26,5,4,2000,2000,5133711,0.09739543188153756
2,2004,32,24,4,2000,2000,5133711,0.46749807303138025
2,2004,33,21,4,2000,2000,5133711,0.4090608139024577
2,2004,41,19,4,2000,2000,5133711,0.3701026411498427
2,2004,42,6,4,2000,2000,5133711,0.11687451825784506
2,2004,43,8,4,2000,2000,5133711,0.15583269101046007
2,2004,51,1,4,2000,2000,5133711,0.01947908637630751
2,2005,11,9,4,2000,2000,5133711,0.17531177738676756
2,2005,12,44,4,2000,2000,5133711,0.8570798005575303
2,2005,13,2,4,2000,2000,5133711,0.03895817275261502
2,2005,14,3,4,2000,2000,5133711,0.05843725912892253
2,2005,15,3,4,2000,2000,5133711,0.05843725912892253
2,2005,21,16,4,2000,2000,5133711,0.31166538202092015
2,2005,23,1,4,2000,2000,5133711,0.01947908637630751
2,2005,24,6,4,2000,2000,5133711,0.11687451825784506
2,2005,25,2,4,2000,2000,5133711,0.03895817275261502
2,2005,26,2,4,2000,2000,5133711,0.03895817275261502
2,2005,32,17,4,2000,2000,5133711,0.33114446839722766
2,2005,33,10,4,2000,2000,5133711,0.1947908637630751
2,2005,41,14,4,2000,2000,5133711,0.2727072092683051
2,2005,42,4,4,2000,2000,5133711,0.07791634550523004
2,2005,43,5,4,2000,2000,5133711,0.09739543188153756
2,2006,11,4,4,2000,2000,5133711,0.07791634550523004
2,2006,12,38,4,2000,2000,5133711,0.7402052822996854
2,2006,13,3,4,2000,2000,5133711,0.05843725912892253
2,2006,14,2,4,2000,2000,5133711,0.03895817275261502
2,2006,15,5,4,2000,2000,5133711,0.09739543188153756
2,2006,21,14,4,2000,2000,5133711,0.2727072092683051
2,2006,23,3,4,2000,2000,5133711,0.05843725912892253
2,2006,24,7,4,2000,2000,5133711,0.13635360463415255
2,2006,25,3,4,2000,2000,5133711,0.05843725912892253
2,2006,26,3,4,2000,2000,5133711,0.05843725912892253
2,2006,32,27,4,2000,2000,5133711,0.5259353321603027
2,2006,33,11,4,2000,2000,5133711,0.21426995013938258
2,2006,41,21,4,2000,2000,5133711,0.4090608139024577
2,2006,42,4,4,2000,2000,5133711,0.07791634550523004
2,2006,43,3,4,2000,2000,5133711,0.05843725912892253
2,2006,52,1,4,2000,2000,5133711,0.01947908637630751
2,2007,11,6,4,2000,2000,5133711,0.11687451825784506
2,2007,12,57,4,2000,2000,5133711,1.1103079234495281
2,2007,13,1,4,2000,2000,5133711,0.01947908637630751
2,2007,14,5,4,2000,2000,5133711,0.09739543188153756
2,2007,15,13,4,2000,2000,5133711,0.2532281228919976
2,2007,21,15,4,2000,2000,5133711,0.2921862956446127
2,2007,24,2,4,2000,2000,5133711,0.03895817275261502
